,동별(1),소재지,2018년전체인구,2018년노인인구,2019년전체인구,2019년노인인구,2020년전체인구,2020년노인인구,2018년노인인구비율,2019년노인인구비율,2020년노인인구비율,노인인구비율
0,합계,종로구,163026,26572,161869,27318,158996,28311,0.16299240611926932,0.16876610098289357,0.17806108329769302,0.16993986346661863
1,합계,중구,135633,21750,136488,22974,134635,24174,0.1603592046183451,0.16832248988922102,0.17955212240502097,0.1694112723041957
2,합계,용산구,245090,37212,245185,38346,244645,39779,0.15182994002203273,0.15639619063156393,0.16259886774714383,0.15694166613358015
3,합계,성동구,316463,42629,308979,43796,300505,45435,0.13470453101942406,0.14174426093682743,0.15119548759588028,0.14254809318404393
4,합계,광진구,371063,45432,366972,47681,360109,50311,0.12243742976260096,0.12993089391016208,0.13971047655015564,0.13069293340763954
5,합계,동대문구,364338,56991,363023,59170,357014,61612,0.15642343098990497,0.1629924274770469,0.1725758653722263,0.16399724127972606
6,합계,중랑구,408147,61748,402024,65065,399562,69341,0.15128862885185976,0.16184357152806797,0.17354252906933093,0.16222490981641954
7,합계,성북구,447687,67646,454744,70699,447056,73613,0.1511011041196193,0.15546989075171966,0.16466169786335494,0.15707756424489797
8,합계,강북구,322915,58103,317695,60474,311569,63313,0.1799327996531595,0.1903523820016053,0.2032069942773511,0.19116405864403863
9,합계,도봉구,341649,55926,335631,58664,327361,62009,0.16369431785253286,0.17478719188632755,0.18942085343092183,0.17596745438992742
10,합계,노원구,548160,77032,537303,80854,527032,85420,0.14052831290134268,0.15048119962107043,0.16207744501282653,0.15102898584507987
11,합계,은평구,487666,77263,484546,80567,484043,85010,0.15843425623274945,0.16627317117466658,0.17562489282976926,0.16677744007906178
12,합계,서대문구,323080,50045,323171,51645,322952,53756,0.15489971524080723,0.15980703714132766,0.16645198048007134,0.16038624428740209
13,합계,마포구,386359,50544,385925,52104,381858,54002,0.1308213345618971,0.13501068860529897,0.14141906153596362,0.13575036156771988
14,합계,양천구,468145,57941,462285,61147,457781,65541,0.12376720887759135,0.1322712179715976,0.1431710796210415,0.1330698354900768
15,합계,강서구,603611,79445,598273,83839,585901,88733,0.13161622303105808,0.14013502197157485,0.15144708747723593,0.14106611082662293
16,합계,구로구,438486,61105,439371,64932,432488,69201,0.1393545061871987,0.14778399120560984,0.16000675163241523,0.14904841634174124
17,합계,금천구,254021,35354,251820,37196,247835,39314,0.13917746957928676,0.14770868080374872,0.15862973349204107,0.1485052946250255
18,합계,영등포구,403600,54906,400986,56957,407367,60663,0.1360406342913776,0.14204236556887273,0.14891486055571512,0.14233262013865514
19,합계,동작구,409385,59265,408912,61994,401572,64928,0.14476592938187768,0.15160719176742185,0.1616845796021635,0.15268590025048767
20,합계,관악구,520040,71888,517334,74787,509803,78430,0.13823552034458889,0.14456231370835862,0.15384373964060627,0.1455471912311846
21,합계,서초구,438163,54663,435107,57036,429025,60072,0.12475494279526113,0.13108499748337765,0.14001981236524677,0.13195325088129517
22,합계,강남구,547453,66957,550209,70896,544055,74959,0.12230638977227269,0.12885285409726122,0.13777834961538815,0.12964586449497403
23,합계,송파구,673507,81211,682741,87182,673926,93309,0.12057929613203723,0.12769410362055303,0.13845585420357726,0.1289097513187225
24,합계,강동구,431920,58669,440390,63341,463998,69903,0.13583302463419153,0.14382933309112378,0.15065366661063195,0.1434386747786491
