,발생지소재지,2018_arrest_count,2019_arrest_count,2020_arrest_count,arrest_count_mean
0,강남구,233,203,226,220.7
1,강동구,208,187,191,195.3
2,강북구,200,169,195,188.0
3,강서구,247,245,251,247.7
4,관악구,227,180,186,197.7
5,광진구,186,152,153,163.7
6,구로구,185,214,158,185.7
7,금천구,110,116,110,112.0
8,노원구,275,266,234,258.3
9,도봉구,196,184,172,184.0
10,동대문구,186,183,188,185.7
11,동작구,157,146,157,153.3
12,마포구,156,201,171,176.0
13,서대문구,169,134,152,151.7
14,서초구,171,181,161,171.0
15,성동구,149,141,148,146.0
16,성북구,178,195,197,190.0
17,송파구,266,224,270,253.3
18,양천구,180,177,134,163.7
19,영등포구,204,212,189,201.7
20,용산구,143,122,105,123.3
21,은평구,207,172,205,194.7
22,종로구,146,124,119,129.7
23,중구,94,92,107,97.7
24,중랑구,185,176,180,180.3
